Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Launch,10,1064,969,1234,89.29,0.000%,2.18962,4.88,1.57,2283.1
Login,10,1871,1622,2102,158.58,0.000%,1.87864,12.07,5.42,6577.0
Click Admin,10,1084,893,1633,216.55,0.000%,2.27583,10.98,3.79,4941.0
Click Add,5,477,449,494,16.41,0.000%,1.25282,4.09,1.05,3340.0
Enter details and search,5,1135,897,1528,249.42,0.000%,1.37627,14.27,2.18,10619.6
Logout,10,946,832,1142,100.24,0.000%,1.78635,10.52,0.72,6030.3
Add details and save,5,2339,2114,2598,217.68,0.000%,.85985,3.58,2.71,4268.0
TOTAL,55,1262,449,2598,536.41,0.000%,4.88021,25.08,7.50,5262.8
