Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Launch,10,1064,1021,1218,1218,1234,969,1234,0.000%,2.18962,4.88,1.57
Login,10,1871,1834,2089,2089,2102,1622,2102,0.000%,1.87864,12.07,5.42
Click Admin,10,1084,942,1198,1198,1633,893,1633,0.000%,2.27583,10.98,3.79
Click Add,5,477,479,493,494,494,449,494,0.000%,1.25282,4.09,1.05
Enter details and search,5,1135,972,1331,1528,1528,897,1528,0.000%,1.37627,14.27,2.18
Logout,10,946,916,1103,1103,1142,832,1142,0.000%,1.78635,10.52,0.72
Add details and save,5,2339,2270,2596,2598,2598,2114,2598,0.000%,.85985,3.58,2.71
TOTAL,55,1262,1085,2089,2119,2596,449,2598,0.000%,4.88021,25.08,7.50
