Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Launch,20,1363,965,1874,255.05,0.000%,5.53557,12.37,3.96,2287.3
Login,20,4861,3329,5633,639.54,0.000%,2.48849,15.98,7.19,6577.0
Click Admin,20,2604,2190,3296,282.22,0.000%,2.70453,13.05,4.50,4941.0
Click Add,10,1271,871,1598,253.27,0.000%,2.17155,7.08,1.82,3340.0
Enter details and search,10,2428,1904,2891,265.34,0.000%,1.49656,16.91,2.37,11570.0
Logout,20,1574,833,2582,634.23,0.000%,2.52717,14.88,1.02,6028.6
Add details and save,10,4633,3970,5730,574.99,0.000%,1.39121,5.80,4.39,4268.0
TOTAL,110,2649,833,5730,1466.72,0.000%,6.29471,32.89,9.68,5349.6
