Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Launch,30,1218,958,2345,319.75,0.000%,.17977,0.40,0.13,2282.4
Login,30,13844,0,75907,25847.51,53.333%,.19477,0.50,0.23,2645.7
Click Admin,8,1250,0,4566,1534.84,0.000%,.06116,0.15,0.05,2470.5
Enter details and search,2,28773,0,57547,28773.50,0.000%,.03475,0.02,0.01,668.5
Click Add,2,0,0,0,0.00,0.000%,.00000,0.00,0.00,.0
TOTAL,72,7214,0,75907,18795.77,22.222%,.43043,0.99,0.38,2346.4
