Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Launch,30,1218,1060,1720,1736,2345,958,2345,0.000%,.17977,0.40,0.13
Login,30,13844,0,59939,72499,75907,0,75907,53.333%,.19477,0.50,0.23
Click Admin,8,1250,0,2470,4566,4566,0,4566,0.000%,.06116,0.15,0.05
Enter details and search,2,28773,0,57547,57547,57547,0,57547,0.000%,.03475,0.02,0.01
Click Add,2,0,0,0,0,0,0,0,0.000%,-.00000,0.00,0.00
TOTAL,72,7214,1056,5630,57547,72909,0,75907,22.222%,.43043,0.99,0.38
