Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Launch,20,1166,1075,1458,1506,1650,983,1650,0.000%,3.22737,7.19,2.31
Login,20,2676,1945,3914,4186,4273,1706,4273,0.000%,2.24014,14.38,6.46
Click Admin,20,1803,1789,2223,2308,2396,1065,2396,0.000%,2.19154,10.58,3.65
Enter details and search,10,2101,1951,2601,2601,2610,1674,2610,0.000%,1.17330,9.04,1.86
Click Add,10,1074,1086,1404,1404,1469,593,1469,0.000%,1.46220,4.77,1.22
Logout,20,1405,1192,2009,2291,2297,820,2297,0.000%,1.96715,11.58,0.79
Add details and save,10,3589,3293,4844,4844,4947,2340,4947,0.000%,1.28584,5.36,4.06
TOTAL,110,1897,1707,3400,3887,4844,593,4947,0.000%,6.98014,34.18,10.73
